ID WHO city,Region,iso3,Country,City,Location,lon,lat,pm10,Year,Number and type of monitoring stations,note on converted PM10,pm25,note on converted PM2.5,Temporal coverage,for air quality
2101,Eur LMI,ROU,Romania,PITESTI,"PITESTI, Romania",24.8691824,44.8564798,18,2013,"1 station, background, urban",measured data,14,measured data,PM10: <75 % but annually representative; PM2.5:<75 % but annually representative,"European Environment Agency, Air quality e-reporting database"
944,Eur HI,FRA,France,PORTES-LES-VALENCE,"PORTES-LES-VALENCE, France",4.884814,44.875215,22,2014,0,measured data,14,converted from PM10,PM10: >75%; PM2.5:NA,"Ministère de l'environnement, de l'énergie et de la mer"
1540,Eur HI,ITA,Italy,JOLANDA DI SAVOIA,"JOLANDA DI SAVOIA, Italy",11.9771809,44.8859799,17,2013,"1 station, background, rural",measured data,13,measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
1563,Eur HI,ITA,Italy,MIRANDOLA,"MIRANDOLA, Italy",11.0632969,44.8863605,30,2013,"1 station, background, rural",converted from PM2.5,20,measured data,PM10: NA; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
300,Amr HI,CAN,Canada,MORRISBURG,"MORRISBURG, Canada",-75.1833966,44.8977889,12,2013,"1 station, NA",converted from PM2.5,7,measured data,PM10: NA; PM2.5:>75%,National Air Pollution Surveillance Network.
2961,Amr HI,USA,United States of America,"Watertown, SD","Watertown, SD, United States of America",-97.1150732,44.8994088,8,2014,"1 station, NA",converted from PM2.5,5,measured data,PM10: NA; PM2.5:<75%,Environmental Protection Agency (EPA)
749,Eur HI,FRA,France,BASSENS,"BASSENS, France",-0.516238,44.899835,18,2014,"1 station, Background urban",measured data,11,measured data,PM10: >75%; PM2.5:>75%,"Ministère de l'environnement, de l'énergie et de la mer"
2103,Eur LMI,ROU,Romania,ROVINARI,"ROVINARI, Romania",23.1543463,44.9000027,39,2013,0,measured data,29,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1450,Eur HI,ITA,Italy,ASTI,"ASTI, Italy",8.2064257,44.9007512,30,2013,0,measured data,20,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1441,Eur HI,ITA,Italy,ALESSANDRIA,"ALESSANDRIA, Italy",8.6116796,44.9072727,38,2013,"1 station, traffic, urban",measured data,27,measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
1536,Eur HI,ITA,Italy,GUASTALLA,"GUASTALLA, Italy",10.6543959,44.9212351,29,2013,"1 station, background, rural",measured data,21,measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
743,Eur HI,FRA,France,AURILLAC,"AURILLAC, France",2.444997,44.930953,14,2014,0,measured data,9,converted from PM10,PM10: >75%; PM2.5:NA,"Ministère de l'environnement, de l'énergie et de la mer"
1503,Eur HI,ITA,Italy,COLORNO,"COLORNO, Italy",10.3776918,44.9318812,28,2013,0,measured data,18,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
1021,Eur HI,FRA,France,VALENCE,"VALENCE, France",4.89236,44.933393,19,2014,"1 station, Background urban",measured data,14,measured data,PM10: >75%; PM2.5:>75%,"Ministère de l'environnement, de l'énergie et de la mer"
2102,Eur LMI,ROU,Romania,PLOIESTI,"PLOIESTI, Romania",26.0128616,44.936664,31,2013,"1 station, traffic, urban",measured data,18,measured data,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
2819,Amr HI,USA,United States of America,"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI, United States of America",-93.1177555,44.9389111,14,2014,"12 stations, NA",converted from PM2.5,8,measured data,PM10: NA; PM2.5:<75%,Environmental Protection Agency (EPA)
769,Eur HI,FRA,France,BOURG-LES-VALENCE,"BOURG-LES-VALENCE, France",4.894633,44.947037,20,2014,"1 station, Traffic urban",measured data,14,measured data,PM10: >75%; PM2.5:>75%,"Ministère de l'environnement, de l'énergie et de la mer"
1459,Eur HI,ITA,Italy,BESENZONE,"BESENZONE, Italy",9.9527038,44.9865659,33,2013,"1 station, background, rural",converted from PM2.5,21,measured data,PM10: NA; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
2078,Eur LMI,ROU,Romania,BLEJOI,"BLEJOI, Romania",26.0126977,44.989028,26,2013,0,measured data,20,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
